输入query,输入query对应的instruction,输入appname,输入大类,模型原输出,标注输出,是否标注,是否为训练集,,,,,,,,,,,,
YOYO，帮我打开抖音极速版的购物车页面。,在抖音极速版中查看购物车,抖音极速版,购物车,<Plan>#购物车#在$抖音极速版$中打开购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
在抖音极速版里加购的东西购物车里有吗,在抖音极速版中查看购物车,抖音极速版,购物车,<Plan>#购物车#在$拼多多$中打开购物车<br>#搜索#在$抖音极速版$中搜索加购的东西</Plan><Finish>,<Plan>#购物车#在$拼多多$中打开购物车</Plan><Finish>,√,0,,,,,,,,,,,,
极速版抖音里的购物车在哪里打开？,在抖音极速版中查看购物车,抖音极速版,购物车,<Plan>#购物车#在$抖音极速版$中打开购物车</Plan><Finish>,,√,1,,,,,,,,,,,,
快帮我查一下极速版抖音里的购物车有没有货品信息。,在抖音极速版中查看购物车,抖音极速版,购物车,<Plan>#购物车#在$抖音极速版$中查看货品信息</Plan><Finish>,,√,0,,,,,,,,,,,,
抖音极速版的购物车里有哪些商品有货,在抖音极速版中查看购物车中有货商品,抖音极速版,购物车,<Plan>#搜索#在$抖音极速版$中搜索有货商品</Plan><Finish>,<Plan>#购物车#在$抖音极速版$中搜索有货商品</Plan><Finish>,√,1,,,,,,,,,,,,
帮我查一下抖音极速版里面购物车里的商品还有没有库存。,在抖音极速版中查看购物车中有货商品,抖音极速版,购物车,<Plan>#购物车#在$抖音极速版$中查看购物车里的商品库存</Plan><Finish>,,√,0,,,,,,,,,,,,
抖音极速版购物车里的东西是不是都还能下单啊？还有货吗,在抖音极速版中查看购物车中有货商品,抖音极速版,购物车,<Plan>#搜索#在$抖音极速版$中查看购物车里的商品是否可以下单<br>#物流#在$抖音极速版$中查看购物车里商品的库存情况</Plan><Finish>,<Plan>#购物车#在$抖音极速版$中查看购物车里的商品是否可以下单</Plan><Finish>,√,0,,,,,,,,,,,,
哎呀，我在抖音极速版加购的商品会不会已经没货了？,在抖音极速版中查看购物车中有货商品,抖音极速版,购物车,<Plan>#购物车#在$抖音极速版$中查看加购商品库存</Plan><Finish>,,√,0,,,,,,,,,,,,
抖音极速版购物车里的宝贝都还有货吗,在抖音极速版中查看购物车中有货商品,抖音极速版,购物车,<Plan>#搜索#在$抖音极速版$中查看购物车存货</Plan><Finish>,<Plan>#购物车#在$抖音极速版$中查看购物车存货</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo，帮我看看抖音极速版里购物车里的降价商品。,在抖音极速版中查看购物车中降价商品,抖音极速版,购物车,<Plan>#搜索#在$抖音极速版$中查看降价商品</Plan><Finish>,<Plan>#购物车#在$抖音极速版$中查看降价商品</Plan><Finish>,√,0,,,,,,,,,,,,
我想在极速版抖音查看购物车中有哪些打折的东西。,在抖音极速版中查看购物车中降价商品,抖音极速版,购物车,<Plan>#搜索#在$抖音极速版$中查看购物车中有哪些打折的东西</Plan><Finish>,<Plan>#购物车#在$抖音极速版$中查看购物车中有哪些打折的东西</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，抖音极速版的购物车里有降价的商品吗？,在抖音极速版中查看购物车中降价商品,抖音极速版,购物车,<Plan>#搜索#在$抖音极速版$中搜索降价商品</Plan><Finish>,<Plan>#购物车#在$抖音极速版$中查看购物车里的降价商品</Plan><Finish>,√,0,,,,,,,,,,,,
快帮我查一下极速版抖音购物车里有没有优惠的！,在抖音极速版中查看购物车中降价商品,抖音极速版,购物车,<Plan>#搜索#在$抖音极速版$中查看优惠购物车</Plan><Finish>,<Plan>#购物车#在$抖音极速版$中查看优惠购物车</Plan><Finish>,√,1,,,,,,,,,,,,
我在抖音极速版加购的一些商品最近降价了吗？,在抖音极速版中查看购物车中降价商品,抖音极速版,购物车,<Plan>#搜索#在$抖音极速版$中搜索加购商品降价信息</Plan><Finish>,<Plan>#购物车#在$抖音极速版$中搜索加购商品降价信息</Plan><Finish>,√,1,,,,,,,,,,,,
在抖音极速版购物车里帮我找一下夏季连衣裙。,在抖音极速版中搜索商城购物车中的<搜索内容>,抖音极速版,购物车,<Plan>#搜索#在$抖音极速版$中在$购物车$里查找夏季连衣裙</Plan><Finish>,<Plan>#购物车#在$抖音极速版$中在购物车里查找夏季连衣裙</Plan><Finish>,√,0,,,,,,,,,,,,
我的抖音极速版里的购物车有没有三只松鼠的零食大礼包,在抖音极速版中搜索商城购物车中的<搜索内容>,抖音极速版,购物车,<Plan>#购物车#在$抖音极速版$中查看购物车是否有三只松鼠的零食大礼包</Plan><Finish>,,√,0,,,,,,,,,,,,
抖音极速版里有购物车吗，里面有保温杯吗,在抖音极速版中搜索商城购物车中的<搜索内容>,抖音极速版,购物车,<Plan>#购物车#在$抖音极速版$中查看购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
快帮我查查抖音极速版购物车里有没有小米手机,在抖音极速版中搜索商城购物车中的<搜索内容>,抖音极速版,购物车,<Plan>#购物车#在$抖音极速版$中查看购物车是否有小米手机</Plan><Finish>,,√,1,,,,,,,,,,,,
哎呀，我的抖音极速版购物车里那个蓝牙耳机还能不能买？,在抖音极速版中搜索商城购物车中的<搜索内容>,抖音极速版,购物车,<Plan>#搜索#在$抖音极速版$中查看蓝牙耳机</Plan><Finish>,<Plan>#购物车#在$抖音极速版$中查看购物车里的蓝牙耳机</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo，快帮我打开京东商城查看购物车里的东西。,在京东中查看购物车,京东,购物车,<Plan>#购物车#在$京东$中打开购物车</Plan><Finish>,,√,1,,,,,,,,,,,,
我想在京东里看看购物车，能帮我吗？,在京东中查看购物车,京东,购物车,<Plan>#购物车#在$京东$中查看购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，我在JD上有个购物车，能帮我查一下里面都有啥吗？,在京东中查看购物车,京东,购物车,<Plan>#购物车#在$京东$中查看购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
哎呀，在京东商城下单前我得先看看购物车，你能帮我看一眼不？,在京东中查看购物车,京东,购物车,<Plan>#购物车#在$京东$中查看购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
京东的购物车在哪啊？麻烦你带我查看一下。,在京东中查看购物车,京东,购物车,<Plan>#购物车#在$京东$中打开购物车<br>#搜索#查看购物车内容</Plan><Finish>,<Plan>#购物车#在$京东$中打开购物车</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo，帮我看看京东里购物车里的送礼商品有哪些。,在京东中查看购物车送礼商品,京东,购物车,<Plan>#购物车#在$京东$中查看购物车里的送礼商品</Plan><Finish>,,√,0,,,,,,,,,,,,
京东商城的购物车中有没有适合送朋友的礼品推荐？,在京东中查看购物车送礼商品,京东,购物车,<Plan>#搜索#在$京东$中查看购物车礼品推荐</Plan><Finish>,<Plan>#购物车#在$京东$中查看购物车礼品推荐</Plan><Finish>,√,0,,,,,,,,,,,,
快打开京东，我要查看购物车里的送礼专区。,在京东中查看购物车送礼商品,京东,购物车,<Plan>#购物车#在$京东$中查看送礼专区</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo助手，我想在JD里浏览购物车中的礼物，你能帮我筛选一下送礼商品吗？,在京东中查看购物车送礼商品,京东,购物车,<Plan>#购物车#在$京东$中浏览购物车中的礼物<br>#搜索#在$京东$中筛选送礼商品</Plan><Finish>,<Plan>#购物车#在$京东$中浏览购物车中的礼物筛选送礼商品</Plan><Finish>,√,1,,,,,,,,,,,,
哎，京东购物车里有哪些是送礼商品？,在京东中查看购物车送礼商品,京东,购物车,<Plan>#搜索#在$京东$中查看购物车里的送礼商品</Plan><Finish>,<Plan>#购物车#在$京东$中查看购物车里的送礼商品</Plan><Finish>,√,0,,,,,,,,,,,,
我在京东商城添加了一些商品到购物车，有没有凑单的？,在京东中查看购物车凑单商品,京东,购物车,<Plan>#购物车#在$京东$中查看购物车</Plan><Finish>,<Plan>#购物车#在$京东$中查看购物车凑单商品</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，帮我看看京东里购物车里的凑单商品有哪些。,在京东中查看购物车凑单商品,京东,购物车,<Plan>#购物车#在$京东$中查看购物车里的凑单商品</Plan><Finish>,,√,0,,,,,,,,,,,,
京东JD的购物车里有凑单专区吗？怎么找不到？,在京东中查看购物车凑单商品,京东,购物车,<Plan>#搜索#在$京东$中查看购物车凑单专区<br>#购物车#在$京东$中打开购物车</Plan><Finish>,<Plan>#购物车#在$京东$中查看购物车凑单商品</Plan><Finish>,√,1,,,,,,,,,,,,
我想在京东上查看购物车里的凑单商品，你能教我操作一下吗？,在京东中查看购物车凑单商品,京东,购物车,<Plan>#购物车#在$京东$中查看购物车里的凑单商品</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，快帮我查一下京东商城购物车里的凑单商品，看有没有划算的组合！,在京东中查看购物车凑单商品,京东,购物车,<Plan>#购物车#在$京东$中查看凑单商品</Plan><Finish>,<Plan>#购物车#在$京东$中查看购物车里的凑单商品</Plan><Finish>,√,1,,,,,,,,,,,,
我在京东商城添加了一些商品到购物车，能帮我看看哪些是参加跨店满减的吗？,在京东中查看购物车跨店满减商品,京东,购物车,<Plan>#购物车#在$京东$中查看购物车并筛选参加跨店满减的商品</Plan><Finish>,,√,0,,,,,,,,,,,,
YOYO，快帮我查一下京东里购物车里的商品哪些能享受跨店满减！,在京东中查看购物车跨店满减商品,京东,购物车,<Plan>#购物车#在$京东$中查看购物车里的商品哪些能享受跨店满减</Plan><Finish>,,√,1,,,,,,,,,,,,
京东JD中的购物车有没有显示哪些商品是满减优惠的？,在京东中查看购物车跨店满减商品,京东,购物车,<Plan>#搜索#在$京东$中查看购物车满减优惠的商品</Plan><Finish>,<Plan>#购物车#在$京东$中查看购物车满减优惠的商品</Plan><Finish>,√,0,,,,,,,,,,,,
我想在京东上查看购物车里的商品是否属于跨店满减，该怎么操作？,在京东中查看购物车跨店满减商品,京东,购物车,<Plan>#购物车#在$京东$中查看购物车里的商品是否属于跨店满减</Plan><Finish>,,√,0,,,,,,,,,,,,
YOYO助手，帮我筛选出京东购物车里面参与跨店满减的商品有哪些？,在京东中查看购物车跨店满减商品,京东,购物车,<Plan>#购物车#在$京东$中筛选出参与跨店满减的商品</Plan><Finish>,<Plan>#购物车#在$京东$中购物车里筛选出参与跨店满减的商品</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo，快帮我看看京东里购物车里的商品有没有降价的！,在京东中查看购物车中的降价商品,京东,购物车,<Plan>#搜索#在$京东$中查看购物车降价商品</Plan><Finish>,<Plan>#购物车#在$京东$中查看购物车降价商品</Plan><Finish>,√,0,,,,,,,,,,,,
我在京东商城加购的商品最近有没有优惠啊？,在京东中查看购物车中的降价商品,京东,购物车,<Plan>#搜索#在$京东$中查看加购商品优惠</Plan><Finish>,<Plan>#购物车#在$京东$中查看加购商品优惠</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo，能不能帮我查一下JD购物车里的降价信息？,在京东中查看购物车中的降价商品,京东,购物车,<Plan>#搜索#在$京东$中查看购物车降价信息</Plan><Finish>,<Plan>#购物车#在$京东$中查看购物车降价信息</Plan><Finish>,√,0,,,,,,,,,,,,
哎呀，京东里面我加购的东西降价了没啊？,在京东中查看购物车中的降价商品,京东,购物车,<Plan>#搜索#在$京东$中查看加购商品降价情况</Plan><Finish>,<Plan>#购物车#在$京东$中查看加购商品降价情况</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo，我京东购物车里的那几样东西现在有降价活动吗？,在京东中查看购物车中的降价商品,京东,购物车,<Plan>#搜索#在$京东$中查看购物车降价活动</Plan><Finish>,<Plan>#购物车#在$京东$中查看购物车降价活动</Plan><Finish>,√,0,,,,,,,,,,,,
我在京东购物车里有保温杯吗？,在京东中搜索购物车中的<搜索内容>,京东,购物车,<Plan>#购物车#在$京东$中查看购物车是否有保温杯</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，帮我查一下京东购物车里的连衣裙。,在京东中搜索购物车中的<搜索内容>,京东,购物车,<Plan>#搜索#在$京东$中查看连衣裙</Plan><Finish>,<Plan>#购物车#在$京东$中查看购物车里的连衣裙</Plan><Finish>,√,0,,,,,,,,,,,,
京东JD里我之前加购的笔记本电脑还在吗？,在京东中搜索购物车中的<搜索内容>,京东,购物车,<Plan>#购物车#在$京东$中查看加购的笔记本电脑</Plan><Finish>,,√,0,,,,,,,,,,,,
我想看看京东里面购物车有没有荣耀手机。,在京东中搜索购物车中的<搜索内容>,京东,购物车,<Plan>#购物车#在$京东$中查看购物车是否有$荣耀手机$</Plan><Finish>,<Plan>#购物车#在$京东$中查看购物车是否有荣耀手机</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo，快帮我搜一下我在京东购物车有没有加过蓝牙耳机。,在京东中搜索购物车中的<搜索内容>,京东,购物车,<Plan>#购物车#在$京东$中查看购物车是否有添加过蓝牙耳机</Plan><Finish>,,√,1,,,,,,,,,,,,
我在快手视频里怎么找不到购物车入口？,在快手中查看购物车,快手,购物车,<Plan>#购物车#在$快手$中查看购物车入口</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，帮我打开快手app里的购物车页面。,在快手中查看购物车,快手,购物车,<Plan>#购物车#在$快手$中打开购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
快手里面能查看购物车吗？,在快手中查看购物车,快手,购物车,<Plan>#购物车#在$快手$中查看购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
我想在快手短视频里查看我的购物车，怎么操作？,在快手中查看购物车,快手,购物车,<Plan>#购物车#在$快手$中查看购物车</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，我在快手上添加的商品放到哪里了，怎么找到购物车？,在快手中查看购物车,快手,购物车,<Plan>#购物车#在$快手$中查看商品是否在购物车<br>#搜索#在$快手$中搜索购物车</Plan><Finish>,<Plan>#购物车#在$快手$中查看商品是否在购物车</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，帮我打开快手极速版里的购物车看看都有啥。,在快手极速版中查看购物车,快手极速版,购物车,<Plan>#购物车#在$快手极速版$中查看购物车</Plan><Finish>,,√,1,,,,,,,,,,,,
在极速版快手里怎么找不到我的购物车入口呢？,在快手极速版中查看购物车,快手极速版,购物车,<Plan>#搜索#在$快手极速版$中查找购物车入口</Plan><Finish>,<Plan>#购物车#在$快手极速版$中查找购物车入口</Plan><Finish>,√,1,,,,,,,,,,,,
快手极速版里面能不能查看之前的购物车记录啊？,在快手极速版中查看购物车,快手极速版,购物车,<Plan>#购物车#在$快手极速版$中查看购物车记录</Plan><Finish>,,√,0,,,,,,,,,,,,
哎呀，我忘记在快手极速的购物车在哪里了，能帮我打开吗,在快手极速版中查看购物车,快手极速版,购物车,<Plan>#购物车#在$快手极速版$中打开购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo助手，我想在我的快手极速版里整理一下购物车，应该怎么做？,在快手极速版中查看购物车,快手极速版,购物车,<Plan>#购物车#在$快手极速版$中查看购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
YOYO，快帮我打开淘宝查看购物车里的东西。,在淘宝中查看购物车,淘宝,购物车,<Plan>#购物车#在$淘宝$中打开购物车</Plan><Finish>,,√,1,,,,,,,,,,,,
我想在淘宝商城里查看我的购物车，能帮我吗？,在淘宝中查看购物车,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
淘宝网的购物车在哪里看啊？,在淘宝中查看购物车,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
请帮我查一下我在淘宝上加购的商品。,在淘宝中查看购物车,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看加购的商品</Plan><Finish>,,√,1,,,,,,,,,,,,
打开淘宝购物车,在淘宝中查看购物车,淘宝,购物车,<Plan>#购物车#在$淘宝$中打开购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，快帮我看看淘宝购物车里有没有降价的商品！,在淘宝中查看购物车中的降价商品,淘宝,购物车,<Plan>#搜索#在$淘宝$中查看购物车里的降价商品</Plan><Finish>,<Plan>#购物车#在$淘宝$中查看购物车里的降价商品</Plan><Finish>,√,1,,,,,,,,,,,,
淘宝网购物车里的商品降价了没？帮我查一下。,在淘宝中查看购物车中的降价商品,淘宝,购物车,<Plan>#搜索#在$淘宝$中搜索购物车商品降价</Plan><Finish>,<Plan>#购物车#在$淘宝$中搜索购物车商品降价</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，能不能帮我找找我在淘宝商城购物车里有没有正在打折的东西？,在淘宝中查看购物车中的降价商品,淘宝,购物车,<Plan>#搜索#在$淘宝$中查看购物车里的打折商品</Plan><Finish>,<Plan>#购物车#在$淘宝$中查看购物车里的打折商品</Plan><Finish>,√,1,,,,,,,,,,,,
我想看看我在淘宝上加购的商品最近有没有优惠，能帮我吗？,在淘宝中查看购物车中的降价商品,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看加购商品是否有优惠</Plan><Finish>,,√,0,,,,,,,,,,,,
淘宝购物车里的宝贝有降价的吗？,在淘宝中查看购物车中的降价商品,淘宝,购物车,<Plan>#搜索#在$淘宝$中查看购物车中降价的宝贝</Plan><Finish>,<Plan>#购物车#在$淘宝$中查看购物车中降价的宝贝</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，快帮我看看淘宝购物车里有哪些常购商品。,在淘宝中查看购物车中常购商品,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车里的常购商品</Plan><Finish>,,√,1,,,,,,,,,,,,
我想在淘宝网查看购物车里的常买物品，怎么操作呢？,在淘宝中查看购物车中常购商品,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车里的常买物品</Plan><Finish>,,√,0,,,,,,,,,,,,
请让淘宝商城显示我购物车中的常用商品。,在淘宝中查看购物车中常购商品,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车中的常用商品</Plan><Finish>,,√,0,,,,,,,,,,,,
淘宝购物车里的常购商品列表能调出来吗？,在淘宝中查看购物车中常购商品,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车里的常购商品列表</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，我在淘宝的购物车里经常买的那些东西在哪里可以一目了然地看到？,在淘宝中查看购物车中常购商品,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车</Plan><Finish>,<Plan>#购物车#在$淘宝$中查看购物车里经常买的东西</Plan><Finish>,√,0,,,,,,,,,,,,
我在淘宝网的购物车里有些商品是不是已经失效了？,在淘宝中查看购物车中失效商品,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车中的商品是否失效</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，快帮我查看一下淘宝商城购物车里的失效商品。,在淘宝中查看购物车中失效商品,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看失效商品</Plan><Finish>,<Plan>#购物车#在$淘宝$中查看购物车里的失效商品</Plan><Finish>,√,0,,,,,,,,,,,,
淘宝上购物车里的哪些商品显示失效了？,在淘宝中查看购物车中失效商品,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车里显示失效的商品</Plan><Finish>,,√,0,,,,,,,,,,,,
查一下我的淘宝购物车中有没有失效的商品。,在淘宝中查看购物车中失效商品,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车中是否有失效商品</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo助手，我想知道淘宝网购物车中哪些商品已经失效了。,在淘宝中查看购物车中失效商品,淘宝,购物车,<Plan>#清理#在$淘宝$中查看购物车中已失效的商品</Plan><Finish>,<Plan>#购物车#在$淘宝$中查看购物车中已失效的商品</Plan><Finish>,√,1,,,,,,,,,,,,
帮我去淘宝网购物车里找找有没有之前加购的蓝牙耳机。,在淘宝的购物车中搜索<搜索内容>,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看之前加购的蓝牙耳机</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo！快帮我查一下淘宝购物车里有有没有之前加的连衣裙。,在淘宝的购物车中搜索<搜索内容>,淘宝,购物车,<Plan>#搜索#在$淘宝$中查看购物车里的连衣裙</Plan><Finish>,<Plan>#购物车#在$淘宝$中查看购物车里的连衣裙</Plan><Finish>,√,0,,,,,,,,,,,,
我想知道我的淘宝购物车里还有没有那款防晒衣，赶紧帮我看看。,在淘宝的购物车中搜索<搜索内容>,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车里的防晒衣</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，我在淘宝的购物车里有没有最近想买的空气炸锅？,在淘宝的购物车中搜索<搜索内容>,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车里的空气炸锅</Plan><Finish>,,√,1,,,,,,,,,,,,
淘宝购物车里有我昨天加购的那个便携水杯吗？帮忙找一下。,在淘宝的购物车中搜索<搜索内容>,淘宝,购物车,<Plan>#搜索#在$淘宝$购物车中查看昨天加购的便携水杯</Plan><Finish>,<Plan>#购物车#在$淘宝$购物车中查看昨天加购的便携水杯</Plan><Finish>,√,1,,,,,,,,,,,,
打开淘宝网帮我管理一下购物车。,打开淘宝购物车管理,淘宝,购物车,<Plan>#购物车#在$淘宝$中管理购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
YOYO，能不能帮我打开淘宝购物车管理？,打开淘宝购物车管理,淘宝,购物车,<Plan>#购物车#在$淘宝$中打开购物车管理</Plan><Finish>,,√,1,,,,,,,,,,,,
我想在淘宝管理一下购物车记录，怎么操作？,打开淘宝购物车管理,淘宝,购物车,<Plan>#购物车#在$淘宝$中管理购物车记录</Plan><Finish>,,√,1,,,,,,,,,,,,
淘宝的购物车怎么管理,打开淘宝购物车管理,淘宝,购物车,<Plan>#购物车#在$淘宝$中管理购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
YOYO，帮我看一下淘宝购物车有没有管理界面,打开淘宝购物车管理,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车管理界面</Plan><Finish>,,√,0,,,,,,,,,,,,
淘宝里的购物车分组在哪里看啊？,在淘宝中查看购物车分组,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车分组</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，教我看一下淘宝网的购物车分组功能。,在淘宝中查看购物车分组,淘宝,购物车,<Plan>#搜索#在$淘宝$中查看购物车分组功能<br>#使用#在$淘宝$中使用购物车分组功能</Plan><Finish>,<Plan>#购物车#在$淘宝$中查看购物车分组功能</Plan><Finish>,√,0,,,,,,,,,,,,
快点帮我打开淘宝商城的购物车分组页面。,在淘宝中查看购物车分组,淘宝,购物车,<Plan>#购物车#在$淘宝$中打开购物车分组页面</Plan><Finish>,,√,1,,,,,,,,,,,,
我想在淘宝查看购物车分组，怎么操作呀？,在淘宝中查看购物车分组,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车分组</Plan><Finish>,,√,0,,,,,,,,,,,,
淘宝网的购物车分组怎么找不到？有没有人知道？,在淘宝中查看购物车分组,淘宝,购物车,<Plan>#购物车#在$淘宝$中查看购物车分组</Plan><Finish>,,√,1,,,,,,,,,,,,
天猫里的购物车在哪里查看啊？,在天猫中查看购物车,天猫,购物车,<Plan>#购物车#在$天猫$中打开购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
YOYO，帮我打开天猫商城的购物车页面。,在天猫中查看购物车,天猫,购物车,<Plan>#购物车#在$天猫$中打开购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
我想在天猫上看一下之前加购的商品，怎么操作？,在天猫中查看购物车,天猫,购物车,<Plan>#购物车#在$天猫$中查看之前加购的商品</Plan><Finish>,,√,1,,,,,,,,,,,,
快让我看看我在天猫里都加购了啥！,在天猫中查看购物车,天猫,购物车,<Plan>#购物车#在$天猫$中查看加购商品</Plan><Finish>,,√,1,,,,,,,,,,,,
天猫APP里的购物车怎么找不到？,在天猫中查看购物车,天猫,购物车,<Plan>#购物车#在$天猫$中打开购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，快帮我打开唯品会查看购物车。,在唯品会中查看购物车,唯品会,购物车,<Plan>#购物车#在$唯品会$中打开购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
我在唯品会上的购物车里还有东西吗？,在唯品会中查看购物车,唯品会,购物车,<Plan>#购物车#在$唯品会$中查看购物车</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，查一下我的唯品会购物车。,在唯品会中查看购物车,唯品会,购物车,<Plan>#购物车#在$唯品会$中查看购物车</Plan><Finish>,,√,1,,,,,,,,,,,,
唯品会的购物车怎么打不开了？,在唯品会中查看购物车,唯品会,购物车,<Plan>#购物车#在$唯品会$中打开购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，去看看唯品会购物车里的商品。,在唯品会中查看购物车,唯品会,购物车,<Plan>#购物车#在$唯品会$中查看购物车里的商品</Plan><Finish>,,√,0,,,,,,,,,,,,
我想在唯品会上看看我最近加购的商品有哪些。,在唯品会中查看购物车中近期加购商品,唯品会,购物车,<Plan>#购物车#在$唯品会$中查看最近加购的商品</Plan><Finish>,,√,0,,,,,,,,,,,,
YOYO，帮我查一下唯品会购物车里最近添加的宝贝。,在唯品会中查看购物车中近期加购商品,唯品会,购物车,<Plan>#购物车#在$唯品会$中查看最近添加的宝贝</Plan><Finish>,<Plan>#购物车#在$唯品会$中查看购物车里最近添加的宝贝</Plan><Finish>,√,1,,,,,,,,,,,,
唯品会的购物车里有我昨天加购的东西吗？,在唯品会中查看购物车中近期加购商品,唯品会,购物车,<Plan>#购物车#在$唯品会$中查看购物车</Plan><Finish>,,√,0,,,,,,,,,,,,
快帮我打开唯品会购物车，看看我最近添加的商品！,在唯品会中查看购物车中近期加购商品,唯品会,购物车,<Plan>#购物车#在$唯品会$中打开购物车<br>查看我最近添加的商品</Plan><Finish>,<Plan>#购物车#在$唯品会$中打开购物车查看我最近添加的商品</Plan><Finish>,√,1,,,,,,,,,,,,
哎呀，我在唯品会前几天加购的东西还在不在购物车里啊？,在唯品会中查看购物车中近期加购商品,唯品会,购物车,<Plan>#购物车#在$唯品会$中查看加购的商品</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，快帮我看看唯品会购物车里有没有降价的商品！,在唯品会中查看购物车中降价商品,唯品会,购物车,<Plan>#搜索#在$唯品会$中查看购物车里的降价商品</Plan><Finish>,<Plan>#购物车#在$唯品会$中查看购物车里的降价商品</Plan><Finish>,√,0,,,,,,,,,,,,
唯品会上我购物车里的商品最近有打折吗？,在唯品会中查看购物车中降价商品,唯品会,购物车,<Plan>#搜索#在$唯品会$中查看购物车打折商品</Plan><Finish>,<Plan>#购物车#在$唯品会$中查看购物车打折商品</Plan><Finish>,√,1,,,,,,,,,,,,
能不能帮我查一下我在唯品会购物车中有哪些降价了的商品？,在唯品会中查看购物车中降价商品,唯品会,购物车,<Plan>#购物车#在$唯品会$中查看降价了的商品</Plan><Finish>,<Plan>#购物车#在$唯品会$中查看购物车中降价的商品</Plan><Finish>,√,0,,,,,,,,,,,,
唯品会里面我的购物车有降价商品吗？,在唯品会中查看购物车中降价商品,唯品会,购物车,<Plan>#搜索#在$唯品会$中查看购物车降价商品</Plan><Finish>,<Plan>#购物车#在$唯品会$中查看购物车降价商品</Plan><Finish>,√,0,,,,,,,,,,,,
哎呀，YoYo，我之前在唯品会加购的东西是不是降价了？帮我查一下呗！,在唯品会中查看购物车中降价商品,唯品会,购物车,<Plan>#搜索#在$唯品会$中查看加购商品是否降价</Plan><Finish>,<Plan>#购物车#在$唯品会$中查看加购商品是否降价</Plan><Finish>,√,1,,,,,,,,,,,,
